pr,"	Year", Month, Country, ISO3, ISO2
108.918,1955,2,ZAF,,
53.627,1955,3,ZAF,,
43.5681,1955,4,ZAF,,
17.1529,1955,5,ZAF,,
20.2624,1955,6,ZAF,,
12.1879,1955,7,ZAF,,
12.6923,1955,8,ZAF,,
10.1282,1955,9,ZAF,,
41.7827,1955,10,ZAF,,
71.0576,1955,11,ZAF,,
73.1976,1955,12,ZAF,,
38.7484,1956,1,ZAF,,
103.962,1956,2,ZAF,,
97.0846,1956,3,ZAF,,
16.73,1956,4,ZAF,,
31.1163,1956,5,ZAF,,
10.9064,1956,6,ZAF,,
9.32021,1956,7,ZAF,,
8.35571,1956,8,ZAF,,
27.2834,1956,9,ZAF,,
48.9621,1956,10,ZAF,,
53.3369,1956,11,ZAF,,
88.035,1956,12,ZAF,,
57.296,1957,1,ZAF,,
65.8369,1957,2,ZAF,,
65.9632,1957,3,ZAF,,
28.5809,1957,4,ZAF,,
19.4362,1957,5,ZAF,,
26.9047,1957,6,ZAF,,
18.1461,1957,7,ZAF,,
27.934,1957,8,ZAF,,
58.4575,1957,9,ZAF,,
58.1633,1957,10,ZAF,,
38.5319,1957,11,ZAF,,
62.8534,1957,12,ZAF,,
108.188,1958,1,ZAF,,
42.8854,1958,2,ZAF,,
40.8761,1958,3,ZAF,,
38.214,1958,4,ZAF,,
33.2048,1958,5,ZAF,,
6.42752,1958,6,ZAF,,
2.73347,1958,7,ZAF,,
9.91564,1958,8,ZAF,,
28.2881,1958,9,ZAF,,
29.6534,1958,10,ZAF,,
54.6968,1958,11,ZAF,,
90.5753,1958,12,ZAF,,
63.9065,1959,1,ZAF,,
62.8442,1959,2,ZAF,,
36.4927,1959,3,ZAF,,
42.0999,1959,4,ZAF,,
46.19,1959,5,ZAF,,
3.62301,1959,6,ZAF,,
21.0355,1959,7,ZAF,,
14.0897,1959,8,ZAF,,
10.8883,1959,9,ZAF,,
38.3652,1959,10,ZAF,,
48.0941,1959,11,ZAF,,
70.8216,1959,12,ZAF,,
44.0116,1960,1,ZAF,,
57.1271,1960,2,ZAF,,
58.0071,1960,3,ZAF,,
43.6485,1960,4,ZAF,,
17.2459,1960,5,ZAF,,
10.0091,1960,6,ZAF,,
7.8184,1960,7,ZAF,,
19.9156,1960,8,ZAF,,
15.458,1960,9,ZAF,,
32.706,1960,10,ZAF,,
67.7922,1960,11,ZAF,,
83.3306,1960,12,ZAF,,
54.5549,1961,1,ZAF,,
49.1258,1961,2,ZAF,,
94.6694,1961,3,ZAF,,
71.3236,1961,4,ZAF,,
31.5542,1961,5,ZAF,,
29.4334,1961,6,ZAF,,
21.5058,1961,7,ZAF,,
14.5173,1961,8,ZAF,,
20.5409,1961,9,ZAF,,
18.7591,1961,10,ZAF,,
68.2875,1961,11,ZAF,,
47.8174,1961,12,ZAF,,
49.0819,1962,1,ZAF,,
67.8638,1962,2,ZAF,,
54.6996,1962,3,ZAF,,
37.1501,1962,4,ZAF,,
6.28082,1962,5,ZAF,,
