;0
1952-02-29;22.4708
1952-03-31;20.9069
1952-04-30;18.1355
1952-05-31;13.7296
1952-06-30;11.9011
1952-07-31;10.9342
1952-08-31;12.7254
1952-09-30;15.0491
1952-10-31;19.035
1952-11-30;20.5666
1952-12-31;21.6185
1953-01-31;23.9377
1953-02-28;22.7669
1953-03-31;20.75
1953-04-30;16.8374
1953-05-31;14.3687
1953-06-30;10.3736
1953-07-31;9.99879
1953-08-31;12.2068
1953-09-30;15.651
1953-10-31;19.0122
1953-11-30;20.1264
1953-12-31;21.8232
1954-01-31;22.2371
1954-02-28;22.4622
1954-03-31;20.2384
1954-04-30;17.0799
1954-05-31;13.9433
1954-06-30;10.6108
1954-07-31;9.44668
1954-08-31;12.4683
1954-09-30;15.8759
1954-10-31;18.3691
1954-11-30;19.9009
1954-12-31;21.9277
1955-01-31;22.489
1955-02-28;21.2056
1955-03-31;20.1547
1955-04-30;16.6976
1955-05-31;14.6995
1955-06-30;10.8167
1955-07-31;10.6192
1955-08-31;11.3629
1955-09-30;14.7571
1955-10-31;16.5724
1955-11-30;19.1344
1955-12-31;20.4045
1956-01-31;23.0684
1956-02-29;21.7532
1956-03-31;20.6654
1956-04-30;17.2964
1956-05-31;13.1017
1956-06-30;10.8712
1956-07-31;11.5353
1956-08-31;12.5152
1956-09-30;14.632
1956-10-31;18.296
1956-11-30;20.3136
1956-12-31;20.6757
1957-01-31;23.3697
1957-02-28;22.9635
1957-03-31;21.3744
1957-04-30;17.5498
1957-05-31;14.232999999999999
1957-06-30;10.2195
1957-07-31;11.4606
1957-08-31;12.6508
1957-09-30;15.6788
1957-10-31;17.2548
1957-11-30;21.2649
1957-12-31;22.706999999999997
1958-01-31;22.9047
1958-02-28;22.375999999999998
1958-03-31;21.116999999999997
1958-04-30;18.1813
1958-05-31;14.1557
1958-06-30;10.382
1958-07-31;11.7341
1958-08-31;12.6778
1958-09-30;15.4747
1958-10-31;18.116
1958-11-30;20.99
1958-12-31;22.5535
1959-01-31;22.0695
1959-02-28;22.7277
1959-03-31;21.1549
1959-04-30;17.9428
1959-05-31;12.7413
1959-06-30;12.0075
1959-07-31;11.6472
1959-08-31;12.7117
1959-09-30;15.9171
